,name,description,price,imageUrl,brand
19,911 Targa 4,No specific description yet,8910000000,https://porsche-vietnam.vn/wp-content/uploads/2020/06/992-ta4-modelimage-sideshot-840x473.png,porsche
20,911 Targa 4S,No specific description yet,9850000000,https://porsche-vietnam.vn/wp-content/uploads/2020/06/992-ta4s-modelimage-sideshot-840x473.png,porsche
21,911 Targa 4 GTS,No specific description yet,11000000000,https://porsche-vietnam.vn/wp-content/uploads/2021/07/992-ta4-gts-modelimage-sideshot-840x473.png,porsche
22,911 Turbo,No specific description yet,14250000000,https://porsche-vietnam.vn/wp-content/uploads/2020/10/911-tu-modelimage-sideshot-840x473.png,porsche
23,911 Turbo Cabriolet,No specific description yet,15070000000,https://porsche-vietnam.vn/wp-content/uploads/2020/10/911-tu-cab-modelimage-sideshot-840x473.png,porsche
24,911 Turbo S,No specific description yet,16500000000,https://porsche-vietnam.vn/wp-content/uploads/2020/10/911-tus-modelimage-sideshot-840x473.png,porsche
25,911 Turbo S Cabriolet,No specific description yet,17380000000,https://porsche-vietnam.vn/wp-content/uploads/2020/10/911-tus-cab-modelimage-sideshot-840x473.png,porsche
26,911 Sport Classic,No specific description yet,19220000000,https://porsche-vietnam.vn/wp-content/uploads/2022/05/992-sc-modelimage-sideshot-840x473.png,porsche
27,911 Dakar,No specific description yet,15290000000,https://porsche-vietnam.vn/wp-content/uploads/2022/11/992-dakar-modelimage-sideshot-840x473.png,porsche
28,Taycan,No specific description yet,4260000000,https://porsche-vietnam.vn/wp-content/uploads/2021/01/j1-taycan-modelimage-sideshot-840x473.png,porsche
29,Taycan 4S,No specific description yet,5140000000,https://porsche-vietnam.vn/wp-content/uploads/2020/08/j1-taycan-4s-modelimage-sideshot-840x473.png,porsche
30,Taycan GTS,No specific description yet,6160000000,https://porsche-vietnam.vn/wp-content/uploads/2022/06/j1-taycan-gts-modelimage-sideshot-840x473.png,porsche
31,Taycan Turbo,No specific description yet,7130000000,https://porsche-vietnam.vn/wp-content/uploads/2019/09/j1-taycan-tu-modelimage-sideshot-840x473.png,porsche
32,Taycan Turbo S,No specific description yet,8500000000,https://porsche-vietnam.vn/wp-content/uploads/2019/09/j1-taycan-tu-s-modelimage-sideshot-840x473.png,porsche
33,Taycan 4 Cross Turismo,No specific description yet,4880000000,https://porsche-vietnam.vn/wp-content/uploads/2021/03/j1-taycan-4-cross-turismo-modelimage-sideshot-840x473.png,porsche
34,Taycan 4S Cross Turismo,No specific description yet,5350000000,https://porsche-vietnam.vn/wp-content/uploads/2021/03/j1-taycan-4s-cross-turismo-modelimage-sideshot-840x473.png,porsche
35,Taycan Turbo Cross Turismo,No specific description yet,7190000000,https://porsche-vietnam.vn/wp-content/uploads/2021/03/j1-taycan-turbo-cross-turismo-modelimage-sideshot-840x473.png,porsche
36,Panamera,No specific description yet,6420000000,https://porsche-vietnam.vn/wp-content/uploads/2024/05/972-g3-v6-modelimage-sideshot-840x473.png,porsche
37,Panamera GTS,No specific description yet,11440000000,https://porsche-vietnam.vn/wp-content/uploads/2024/09/972-g3-gts-modelimage-sideshot-840x473.png,porsche
38,Macan,No specific description yet,3350000000,https://porsche-vietnam.vn/wp-content/uploads/2021/11/pa3-r4-modelimage-sideshot-840x473.png,porsche
39,Macan T,No specific description yet,3570000000,https://porsche-vietnam.vn/wp-content/uploads/2022/06/pa3-t-modelimage-sideshot-840x473.png,porsche
40,Macan S,No specific description yet,4400000000,https://porsche-vietnam.vn/wp-content/uploads/2021/11/pa3-s-modelimage-sideshot-840x473.png,porsche
41,Macan GTS,No specific description yet,5340000000,https://porsche-vietnam.vn/wp-content/uploads/2021/11/pa3-gts-modelimage-sideshot-840x473.png,porsche
42,Macan 4,No specific description yet,0,https://porsche-vietnam.vn/wp-content/uploads/2024/02/macan-bev-4-modelimage-840x473.png,porsche
43,Macan Turbo,No specific description yet,0,https://porsche-vietnam.vn/wp-content/uploads/2024/02/macan-bev-turbo-modelimage-840x473.png,porsche
44,Cayenne,No specific description yet,5560000000,https://porsche-vietnam.vn/wp-content/uploads/2023/04/e3-2nd-cayenne-modelimage-sideshot-840x473.png,porsche
45,Cayenne Coupé,No specific description yet,5810000000,https://porsche-vietnam.vn/wp-content/uploads/2023/09/e3-2nd-cayenne-coupe-modelimage-sideshot-840x473.png,porsche
46,Cayenne S,No specific description yet,7770000000,https://porsche-vietnam.vn/wp-content/uploads/2023/09/e3-2nd-cayenne-s-modelimage-sideshot-840x473.png,porsche
47,Cayenne S Coupé,No specific description yet,8070000000,https://porsche-vietnam.vn/wp-content/uploads/2023/09/e3-2nd-cayenne-coupe-s-modelimage-sideshot-840x473.png,porsche
48,Cayenne Turbo GT,No specific description yet,14360000000,https://porsche-vietnam.vn/wp-content/uploads/2023/09/e3-2nd-cayenne-coupe-turbo-gt-modelimage-sideshot-840x473.png,porsche
